Accident_Index,Accident Date,Month,Year,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901CW10855,09-05-2021,May,2021,Saturday,Auto traffic signal,Crossroads,Fatal,51.527088,Daylight,Camden,None,-0.130844,2,2,Metropolitan Police,Dry,Single carriageway,30,12:39,Urban,Fine no high winds,Car
200901CW10856,10-05-2021,May,2021,Sunday,Auto traffic signal,Crossroads,Fatal,51.527263,Darkness - lights lit,Camden,None,-0.130549,1,1,Metropolitan Police,Dry,Dual carriageway,30,00:01,Urban,Fine no high winds,Car
200901CW10857,11-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.525988,Daylight,Camden,None,-0.140837,1,2,Metropolitan Police,Dry,Single carriageway,30,17:13,Urban,Fine no high winds,Car
200901CW10858,11-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.515356,Daylight,Westminster,None,-0.191283,2,3,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Car
200901CW10859,11-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.522922,Daylight,Westminster,None,-0.174694,1,2,Metropolitan Police,Dry,Single carriageway,30,09:03,Urban,Fine no high winds,Car
200901CW10860,11-05-2021,May,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.501742,Daylight,Westminster,None,-0.160123,1,1,Metropolitan Police,Dry,Dual carriageway,30,08:54,Urban,Fine no high winds,Car
200901CW10861,11-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.522046,Daylight,Camden,None,-0.124852,1,1,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
200901CW10862,07-05-2021,May,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.519513,Darkness - lights lit,Westminster,None,-0.186794,1,1,Metropolitan Police,Dry,Dual carriageway,50,20:40,Urban,Fine no high winds,Car
200901CW10863,11-05-2021,May,2021,Monday,Auto traffic signal,Crossroads,Serious,51.512617,Daylight,Westminster,None,-0.148299,2,4,Metropolitan Police,Dry,Single carriageway,30,10:52,Urban,Fine no high winds,Car
200901CW10864,06-05-2021,May,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.532579,Daylight,Westminster,None,-0.171135,1,2,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
200901CW10868,11-05-2021,May,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.53572,Daylight,Camden,None,-0.164953,1,2,Metropolitan Police,Dry,Single carriageway,30,08:25,Urban,Fine no high winds,Car
200901CW10869,30-04-2021,Apr,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.556437,Daylight,Camden,None,-0.17869,2,2,Metropolitan Police,Dry,Single carriageway,30,09:05,Urban,Fine no high winds,Car
200901CW10870,30-04-2021,Apr,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.514391,Daylight,Westminster,None,-0.129779,1,1,Metropolitan Police,Dry,Single carriageway,30,19:49,Urban,Fine no high winds,Car
200901CW10872,12-05-2021,May,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.523082,Daylight,Westminster,None,-0.150469,1,2,Metropolitan Police,Dry,Dual carriageway,30,18:03,Urban,Fine no high winds,Car
200901CW10873,12-05-2021,May,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.492672,Daylight,Westminster,None,-0.138159,1,1,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
200901CW10874,12-05-2021,May,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.539931,Daylight,Camden,None,-0.141134,2,2,Metropolitan Police,Dry,Single carriageway,30,10:09,Urban,Fine no high winds,Car
200901CW10875,06-05-2021,May,2021,Wednesday,Auto traffic signal,T or staggered junction,Serious,51.537145,Darkness - lights lit,Camden,None,-0.141247,1,1,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901CW10876,08-05-2021,May,2021,Friday,Auto traffic signal,T or staggered junction,Fatal,51.52836,Daylight,Westminster,None,-0.165826,1,2,Metropolitan Police,Dry,Single carriageway,30,13:10,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10877,13-05-2021,May,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Fatal,51.526357,Daylight,Westminster,None,-0.199064,1,1,Metropolitan Police,Dry,Single carriageway,30,14:35,Urban,Fine no high winds,Car
200901CW10879,13-05-2021,May,2021,Wednesday,Auto traffic signal,T or staggered junction,Fatal,51.512045,Daylight,Westminster,None,-0.15769,1,2,Metropolitan Police,Dry,Single carriageway,30,18:14,Urban,Fine no high winds,Car
200901CW10880,04-05-2021,May,2021,Monday,Auto traffic signal,Crossroads,Fatal,51.514086,Darkness - lights lit,Westminster,None,-0.150257,1,1,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
200901CW10881,14-05-2021,May,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.558416,Daylight,Camden,None,-0.196211,2,2,Metropolitan Police,Dry,Single carriageway,30,11:51,Urban,Fine no high winds,Car
200901CW10882,12-05-2021,May,2021,Tuesday,Auto traffic signal,T or staggered junction,Fatal,51.4999,Daylight,Westminster,None,-0.174605,1,1,Metropolitan Police,Dry,Single carriageway,30,10:50,Urban,Fine no high winds,Car
200901CW10883,12-05-2021,May,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.524414,Daylight,Camden,None,-0.138018,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Other vehicle
200901CW10884,14-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Fatal,51.514176,Daylight,Westminster,None,-0.150254,2,1,Metropolitan Police,Dry,Single carriageway,30,08:38,Urban,Fine no high winds,Car
200901CW10885,14-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.543545,Daylight,Camden,None,-0.136516,1,1,Metropolitan Police,Dry,Single carriageway,30,15:52,Urban,Fine no high winds,Car
200901CW10886,14-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.50574,Daylight,Westminster,None,-0.151316,1,2,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10887,14-05-2021,May,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.526407,Darkness - lights lit,Westminster,None,-0.179023,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,23:00,Urban,Fine no high winds,Car
200901CW10888,26-04-2021,Apr,2021,Sunday,Give way or uncontrolled,Crossroads,Slight,51.532804,Daylight,Brent,None,-0.203135,1,1,Metropolitan Police,Dry,Single carriageway,30,14:00,Urban,Fine no high winds,Car
200901CW10891,15-05-2021,May,2021,Friday,Give way or uncontrolled,T or staggered junction,Serious,51.525712,Daylight,Camden,None,-0.129171,1,2,Metropolitan Police,Dry,Single carriageway,30,14:35,Urban,Fine no high winds,Car
200901CW10892,15-05-2021,May,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.546951,Daylight,Camden,None,-0.175895,1,2,Metropolitan Police,Dry,Single carriageway,30,18:14,Urban,Fine no high winds,Car
200901CW10893,15-05-2021,May,2021,Friday,Auto traffic signal,Crossroads,Slight,51.520069,Darkness - lights lit,Westminster,None,-0.170483,1,2,Metropolitan Police,Dry,Dual carriageway,30,22:10,Urban,Fine no high winds,Car
200901CW10894,16-05-2021,May,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.516382,Darkness - lights lit,Camden,None,-0.130562,2,1,Metropolitan Police,Dry,Single carriageway,30,02:36,Urban,Fine no high winds,Car
200901CW10896,15-05-2021,May,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.50239,Daylight,Westminster,None,-0.149867,1,3,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Car
200901CW10897,16-05-2021,May,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.503185,Darkness - lights lit,Westminster,None,-0.126347,3,1,Metropolitan Police,Dry,Single carriageway,30,23:29,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10898,17-05-2021,May,2021,Sunday,Auto traffic signal,Crossroads,Serious,51.511531,Darkness - lights lit,Westminster,Pedestrian in carriageway - not injured,-0.147911,1,1,Metropolitan Police,Dry,Single carriageway,30,03:32,Urban,Fine no high winds,Car
200901CW10899,16-05-2021,May,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.549199,Darkness - lights lit,Camden,None,-0.152872,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:16,Urban,Fine no high winds,Car
200901CW10900,17-05-2021,May,2021,Sunday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.510063,Daylight,Westminster,None,-0.134712,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,13:40,Urban,Fine no high winds,Car
200901CW10901,13-05-2021,May,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.49141,Daylight,Westminster,None,-0.132304,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,18:13,Urban,Fine no high winds,Car
200901CW10902,17-05-2021,May,2021,Sunday,Auto traffic signal,Crossroads,Slight,51.498208,Daylight,Westminster,None,-0.14701,1,2,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Car
200901CW10905,16-04-2021,Apr,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.510045,Darkness - lights lit,Westminster,None,-0.13356,1,2,Metropolitan Police,Dry,Single carriageway,30,23:30,Urban,Fine no high winds,Car
200901CW10906,08-05-2021,May,2021,Friday,Auto traffic signal,Crossroads,Serious,51.525565,Darkness - lights lit,Camden,None,-0.125573,1,1,Metropolitan Police,Dry,Single carriageway,30,04:15,Urban,Fine no high winds,Other vehicle
200901CW10907,18-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.55617,Daylight,Camden,None,-0.178845,1,2,Metropolitan Police,Dry,Single carriageway,30,08:10,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10908,13-05-2021,May,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,51.519498,Daylight,Camden,None,-0.122939,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,09:48,Urban,Fine no high winds,Taxi/Private hire car
200901CW10909,18-05-2021,May,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.512407,Daylight,Westminster,None,-0.15782,1,1,Metropolitan Police,Dry,Single carriageway,40,17:30,Urban,Fine no high winds,Car
200901CW10910,18-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.504787,Daylight,Westminster,None,-0.125273,1,2,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
200901CW10911,18-05-2021,May,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.522138,Daylight,Camden,None,-0.124993,2,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
200901CW10912,18-05-2021,May,2021,Monday,Auto traffic signal,Crossroads,Slight,51.519021,Daylight,Camden,None,-0.121229,1,2,Metropolitan Police,Dry,Dual carriageway,30,09:30,Urban,Fine no high winds,Car
200901CW10913,30-04-2021,Apr,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.514294,Daylight,Camden,None,-0.129351,1,1,Metropolitan Police,Dry,One way street,30,14:40,Urban,Fine no high winds,Car
200901CW10914,19-05-2021,May,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.513963,Daylight,Westminster,None,-0.153865,1,1,Metropolitan Police,Dry,Single carriageway,30,11:15,Urban,Fine no high winds,Car
200901CW10915,19-05-2021,May,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.520483,Daylight,Westminster,None,-0.191368,1,2,Metropolitan Police,Dry,Single carriageway,30,08:32,Urban,Fine no high winds,Car
200901CW10916,19-05-2021,May,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.542003,Daylight,Camden,None,-0.135713,1,1,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Car
200901CW10918,19-05-2021,May,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.50712,Darkness - lights lit,Westminster,None,-0.141893,1,2,Metropolitan Police,Dry,Single carriageway,30,23:42,Urban,Fine no high winds,Car
200901CW10919,19-05-2021,May,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.519279,Darkness - lights lit,Camden,None,-0.120498,1,1,Metropolitan Police,Dry,Single carriageway,30,23:25,Urban,Fine no high winds,Car
200901CW10920,19-05-2021,May,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.500794,Daylight,Westminster,None,-0.122987,2,3,Metropolitan Police,Dry,Single carriageway,30,19:15,Urban,Fine no high winds,Car
200901CW10921,19-05-2021,May,2021,Tuesday,Authorised person,T or staggered junction,Slight,51.542857,Daylight,Camden,None,-0.144187,1,2,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Car
200901CW10923,10-05-2021,May,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.535206,Daylight,Camden,None,-0.189775,1,2,Metropolitan Police,Dry,Single carriageway,30,13:25,Urban,Fine no high winds,Car
200901CW10925,20-05-2021,May,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.532526,Daylight,Brent,None,-0.208481,1,2,Metropolitan Police,Dry,Single carriageway,30,08:09,Urban,Fine no high winds,Car
200901CW10926,20-05-2021,May,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.524015,Daylight,Westminster,None,-0.152594,2,2,Metropolitan Police,Dry,Single carriageway,30,09:15,Urban,Fine no high winds,Car
200901CW10929,01-05-2021,May,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.538147,Daylight,Camden,None,-0.19384,1,1,Metropolitan Police,Dry,Single carriageway,30,12:55,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901CW10930,11-05-2021,May,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.507778,Daylight,Westminster,None,-0.126735,1,1,Metropolitan Police,Dry,One way street,30,17:30,Urban,Fine no high winds,Car
200901CW10931,21-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Serious,51.540452,Darkness - lights lit,Camden,None,-0.139959,3,2,Metropolitan Police,Dry,Single carriageway,30,03:23,Urban,Fine no high winds,Car
200901CW10934,21-05-2021,May,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.496347,Daylight,Westminster,None,-0.143052,1,2,Metropolitan Police,Dry,Single carriageway,30,06:59,Urban,Fine no high winds,Car
200901CW10935,21-05-2021,May,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506766,Daylight,Westminster,None,-0.170872,1,2,Metropolitan Police,Dry,Single carriageway,30,08:05,Urban,Fine no high winds,Car
200901CW10936,18-05-2021,May,2021,Monday,Auto traffic signal,Crossroads,Slight,51.498116,Daylight,Westminster,None,-0.14687,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,18:20,Urban,Raining no high winds,Car
200901CW10937,15-05-2021,May,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.541712,Daylight,Camden,None,-0.174374,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Car
200901CW10938,18-05-2021,May,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.539129,Daylight,Camden,None,-0.141599,1,1,Metropolitan Police,Dry,One way street,30,13:10,Urban,Fine no high winds,Car
200901CW10939,16-04-2021,Apr,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.525585,Daylight,Westminster,None,-0.178191,1,2,Metropolitan Police,Dry,Single carriageway,30,05:40,Urban,Fine no high winds,Car
200901CW10940,18-04-2021,Apr,2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.54692,Daylight,Camden,None,-0.179647,1,1,Metropolitan Police,Dry,Dual carriageway,30,09:51,Urban,Fine no high winds,Car
200901CW10941,21-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.505775,Daylight,Westminster,None,-0.130852,1,2,Metropolitan Police,Dry,Single carriageway,30,09:15,Urban,Fine no high winds,Car
200901CW10942,21-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.519401,Daylight,Westminster,None,-0.156528,1,1,Metropolitan Police,Dry,Single carriageway,30,16:21,Urban,Fine no high winds,Car
200901CW10943,21-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.523655,Daylight,Westminster,None,-0.175529,1,1,Metropolitan Police,Dry,Single carriageway,30,09:00,Urban,Fine no high winds,Car
200901CW10944,21-05-2021,May,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.51134,Daylight,Westminster,None,-0.118951,1,1,Metropolitan Police,Dry,One way street,30,17:54,Urban,Fine no high winds,Taxi/Private hire car
200901CW10945,21-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507622,Daylight,Westminster,None,-0.145187,1,3,Metropolitan Police,Dry,Single carriageway,30,16:40,Urban,Fine no high winds,Car
200901CW10947,21-05-2021,May,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493785,Darkness - lights lit,Westminster,None,-0.140275,1,2,Metropolitan Police,Dry,Single carriageway,30,23:50,Urban,Fine no high winds,Car
200901CW10949,21-05-2021,May,2021,Thursday,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.524868,Darkness - lights lit,Camden,None,-0.138288,1,2,Metropolitan Police,Dry,Dual carriageway,30,22:25,Urban,Fine no high winds,Car
200901CW10952,23-05-2021,May,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.516774,Darkness - lights lit,Camden,None,-0.126943,1,1,Metropolitan Police,Dry,Single carriageway,30,03:55,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200901CW10953,22-05-2021,May,2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.515603,Darkness - lights lit,Camden,None,-0.126847,2,2,Metropolitan Police,Dry,One way street,30,22:08,Urban,Fine no high winds,Car
200901CW10954,22-05-2021,May,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.50694,Darkness - lights lit,Westminster,None,-0.153285,1,2,Metropolitan Police,Dry,Dual carriageway,30,22:30,Urban,Fine no high winds,Car
200901CW10957,23-05-2021,May,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.515536,Daylight,Westminster,None,-0.139533,4,1,Metropolitan Police,Dry,Single carriageway,30,13:58,Urban,Fine no high winds,Car
200901CW10958,23-05-2021,May,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.554447,Daylight,Camden,None,-0.172133,1,2,Metropolitan Police,Dry,Single carriageway,30,20:20,Urban,Fine no high winds,Car
200901CW10959,24-05-2021,May,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.570319,Daylight,Camden,None,-0.146388,1,2,Metropolitan Police,Dry,Single carriageway,30,19:55,Urban,Fine no high winds,Car
200901CW10960,25-05-2021,May,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.510077,Darkness - lights lit,Westminster,None,-0.187169,1,1,Metropolitan Police,Dry,Single carriageway,30,02:05,Urban,Fine no high winds,Car
200901CW10961,25-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.542244,Daylight,Camden,None,-0.145222,1,2,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
200901CW10962,25-05-2021,May,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.506591,Daylight,Westminster,None,-0.171168,2,3,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
200901CW10963,25-05-2021,May,2021,Monday,Give way or uncontrolled,Crossroads,Serious,51.531404,Daylight,Westminster,None,-0.17075,2,2,Metropolitan Police,Dry,Single carriageway,30,16:07,Urban,Fine no high winds,Motorcycle 125cc and under
200901CW10964,25-05-2021,May,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.520211,Darkness - lights lit,Westminster,None,-0.191235,1,2,Metropolitan Police,Dry,Dual carriageway,30,21:30,Urban,Fine no high winds,Car
200901CW10966,26-05-2021,May,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.515926,Darkness - lights lit,Westminster,None,-0.164308,3,1,Metropolitan Police,Dry,Dual carriageway,30,20:48,Urban,Fine no high winds,Taxi/Private hire car
200901CW10967,26-05-2021,May,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.512511,Daylight,Westminster,None,-0.130288,1,2,Metropolitan Police,Dry,Single carriageway,30,17:10,Urban,Fine no high winds,Car
200901CW10968,26-05-2021,May,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.500909,Daylight,Westminster,None,-0.124568,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:10,Urban,Fine no high winds,Car
200901CW10972,18-05-2021,May,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.53723,Darkness - lights lit,Camden,Pedestrian in carriageway - not injured,-0.192723,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:10,Urban,Raining + high winds,Car
200901CW10973,27-05-2021,May,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.551153,Daylight,Camden,None,-0.191738,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:49,Urban,Raining no high winds,Car
200901CW10974,27-05-2021,May,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.516481,Daylight,Camden,None,-0.119892,1,1,Metropolitan Police,Dry,Single carriageway,30,13:10,Urban,Fine no high winds,Car
200901CW10975,31-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.508942,Daylight,Westminster,None,-0.154789,1,2,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Car
200901CW10978,27-05-2021,May,2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.524703,Darkness - lights lit,Camden,None,-0.127915,2,1,Metropolitan Police,Dry,Single carriageway,30,23:56,Urban,Fine no high winds,Car
200901CW10979,28-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Serious,51.523883,Daylight,Westminster,None,-0.144238,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:00,Urban,Fine no high winds,Car
200901CW10980,28-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.508764,Daylight,Westminster,None,-0.132171,1,2,Metropolitan Police,Dry,Single carriageway,30,18:07,Urban,Fine no high winds,Car
200901CW10981,19-05-2021,May,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.545932,Darkness - lights lit,Camden,None,-0.191368,1,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car
200901CW10984,28-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.510048,Daylight,Westminster,None,-0.156474,1,2,Metropolitan Police,Dry,One way street,30,11:00,Urban,Fine no high winds,Car
200901CW10985,28-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.514571,Daylight,Westminster,None,-0.146779,1,1,Metropolitan Police,Dry,Single carriageway,30,17:28,Urban,Fine no high winds,Car
200901CW10986,28-05-2021,May,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.526223,Darkness - lights lit,Camden,None,-0.138665,1,1,Metropolitan Police,Dry,Single carriageway,30,02:40,Urban,Fine no high winds,Car
200901CW10987,28-05-2021,May,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.525793,Darkness - lights lit,Westminster,None,-0.197501,1,2,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
200901CW10988,27-05-2021,May,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.524445,Daylight,Westminster,None,-0.197554,2,2,Metropolitan Police,Dry,Single carriageway,30,17:38,Urban,Fine no high winds,Car
200901CW10989,12-05-2021,May,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.51594,Daylight,Camden,None,-0.125392,1,2,Metropolitan Police,Dry,Single carriageway,30,17:10,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200901CW10991,29-05-2021,May,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.510601,Darkness - lights lit,Westminster,None,-0.123305,1,1,Metropolitan Police,Dry,One way street,30,22:26,Urban,Fine no high winds,Car
200901CW10992,29-05-2021,May,2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.509951,Darkness - lights lit,Westminster,Pedestrian in carriageway - not injured,-0.133275,1,1,Metropolitan Police,Dry,One way street,30,22:50,Urban,Fine no high winds,Car
200901CW10994,30-05-2021,May,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.523313,Darkness - lights lit,Westminster,None,-0.148009,1,2,Metropolitan Police,Dry,Dual carriageway,30,00:20,Urban,Fine no high winds,Car
200901CW10995,23-05-2021,May,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.527454,Daylight,Westminster,None,-0.211996,1,2,Metropolitan Police,Dry,Single carriageway,30,17:08,Urban,Fine no high winds,Car
200901CW10996,29-05-2021,May,2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.521801,Daylight,Westminster,None,-0.166234,1,2,Metropolitan Police,Dry,Single carriageway,30,19:10,Urban,Fine no high winds,Car
200901CW10997,29-05-2021,May,2021,Friday,Give way or uncontrolled,Crossroads,Serious,51.514183,Darkness - lights lit,Westminster,None,-0.150686,1,1,Metropolitan Police,Dry,Single carriageway,30,21:10,Urban,Fine no high winds,Car
200901CW10999,30-05-2021,May,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.515681,Daylight,Westminster,None,-0.137365,1,1,Metropolitan Police,Dry,Single carriageway,30,11:09,Urban,Fine no high winds,Car
200901CW11000,30-05-2021,May,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.51694,Daylight,Westminster,None,-0.189058,1,1,Metropolitan Police,Dry,Single carriageway,30,17:40,Urban,Fine no high winds,Car
200901CW11002,31-05-2021,May,2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.512123,Darkness - lights lit,Westminster,None,-0.139816,1,3,Metropolitan Police,Dry,Single carriageway,30,01:49,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW11004,31-05-2021,May,2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,51.524671,Daylight,Westminster,None,-0.148531,1,1,Metropolitan Police,Dry,Single carriageway,30,12:23,Urban,Fine no high winds,Car
200901CW11005,30-05-2021,May,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.50987,Darkness - lights lit,Westminster,None,-0.122614,1,2,Metropolitan Police,Dry,Dual carriageway,30,03:23,Urban,Fine no high winds,Car
200901CW11007,01-06-2021,Jun,2021,Monday,Auto traffic signal,Crossroads,Slight,51.524065,Daylight,Westminster,None,-0.144375,1,1,Metropolitan Police,Dry,Dual carriageway,30,04:18,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW11008,22-05-2021,May,2021,Friday,Auto traffic signal,Crossroads,Slight,51.542112,Darkness - lights lit,Camden,None,-0.171186,1,2,Metropolitan Police,Dry,Single carriageway,30,22:20,Urban,Fine no high winds,Car
